FG ITEM CODE,DESCRIPTION,BUILT QTY,UNBUILT QTY
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,549.0,0.0
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,1121.0,0.0
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,2226.0,83.0
SF-ND0020,Nadec FPC Salt 155g X 12p,394.0,1057.0
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,852.0,0.0
SF-ND0012,Nadec FPC Chilli 40g X 28p,4530.0,991.0
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,616.0,0.0
SF-ND0002,Nadec Polybags FPC Chili 21g x 2b x 25p,92.0,1084.0
SF-ND0016,Nadec FPC Ketchup 155g X 12p,5828.0,0.0
SF-ND0007,Nadec Duplex FPC Chilli 21g X 5box X 12p,1079.0,888.0
SF-ND0018,Nadec FPC Cheese 155g X 12p,2410.0,2207.0
