FG ITEM CODE,DESCRIPTION,ITEM CODE,DESCRIPTION,BOM REQUIREMENT,AVAILABLE MATERIAL,CAN BE MADE IN CARTONS
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-FLM0522,FILM NADEC FPC SALT 21g,0.129,670.1423,5194.901550387596
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,-5629.0,-5629.0
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-OIL0001,PALMOLIEN,0.461,131246.08000000002,284698.6550976139
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-DUP0105,DUPLEX BOX - NADEC FPC SALT - 21g X 12p,5.05,1406.35,278.48514851485146
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-FLV0014,FLV-SALT (For flavouring) (Fine 50 Red Bag),0.0257,1707.69677,66447.34513618676
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-POT0001,POTATO,4.987,667951.2583999999,133938.49175857226
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,-22173.0,-22173.0
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-FLM0511,FILM NADEC FPC SALT 155g,0.114,-146.41400000000002,-1284.3333333333335
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-OIL0001,PALMOLIEN,0.681,131246.08000000002,192725.52129221734
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-FLV0014,FLV-SALT (For flavouring) (Fine 50 Red Bag),0.03757,1707.69677,45453.73356401384
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-POT0001,POTATO,7.3626,667951.2583999999,90722.19846249965
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-DUP0106,DUPLEX BOX - NADEC FPC SALT & VINEGAR - 21g X 12p,5.05,-1284.8999999999999,-254.4356435643564
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-FLM0521,FILM NADEC FPC SALT & VINEGAR 21g,0.129,681.3673,5281.917054263566
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,-5629.0,-5629.0
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-OIL0001,PALMOLIEN,0.437,131246.08000000002,300334.27917620144
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-POT0001,POTATO,4.725,667951.2583999999,141365.3456931217
SF-ND0009,Nadec Duplex FPC Salt & Vinegar 21g X 5box X 12p,SF-FLV0008,FLV-SALT & VIN FROMATECH 2059.009,0.09036,4737.963629399999,52434.30311420982
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-CR0001,CLR-PAPRIKA OIL,4.12E-4,202.3598012,491164.5660194175
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-FLM0520,FILM NADEC FPC CHEESE 21g,0.129,349.1615999999999,2706.679069767441
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-OTH0004,ONION POWDER,0.01339,393.67101,29400.374159820763
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-DUP0104,DUPLEX BOX - NADEC FPC CHEESE - 21g X 12p,5.05,-3576.1000000000004,-708.1386138613863
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-OTH0003,SUGAR,0.020085,5801.9698579,288870.79202887724
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-OIL0001,PALMOLIEN,0.432,131246.08000000002,303810.3703703704
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-FLV0069,FLV-SOUR CREAM & ONION (Griffco) D250075,0.026883,2047.414697,76160.20150280846
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-FLV0017,FLV-CHEESE FROMATECH CFB 323.015,0.040273,5887.754707,146196.07943287064
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-FLV0028,FLV-SALT (LOCAL),0.004017,4927.381403,1226632.1640527758
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-POT0001,POTATO,4.674,667951.2583999999,142907.84304664098
SF-ND0008,Nadec Duplex FPC Cheese 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,-5629.0,-5629.0
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-FLM0512,FILM NADEC FPC SALT & VINEGAR 155g,0.114,-245.226,-2151.1052631578946
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,-22173.0,-22173.0
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-OTH0003,SUGAR,0.0267501,5801.9698579,216895.25863080885
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-OIL0001,PALMOLIEN,0.645,131246.08000000002,203482.29457364342
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-POT0001,POTATO,6.976,667951.2583999999,95749.89369266054
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-FLV0008,FLV-SALT & VIN FROMATECH 2059.009,0.0893566,4737.963629399999,53023.09655246506
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-CR0001,CLR-PAPRIKA OIL,0.001656,202.3598012,122197.94758454106
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-OTH0003,SUGAR,0.0331338,5801.9698579,175107.287962745
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-OIL0001,PALMOLIEN,0.341,131246.08000000002,384885.8651026393
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-FLM0519,FILM NADEC FPC KETCHUP 21g,0.1009,379.2302,3758.4757185332014
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-FLV0027,FLV-KETCHUP SEASONING - 700031638 (SYMEGA).,0.0530196,1005.3758715000001,18962.34357671503
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-FLV0018,FLV-KETCHUP FROMATECH SE 2145.028,0.0530196,4055.0418715,76481.94010328256
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-POT0001,POTATO,3.685,667951.2583999999,181262.2139484396
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-PBG0261,POLYBAG NADEC FPC KETCHUP 21g X 25p,0.06,139.76,2329.3333333333335
SF-ND0001,Nadec Polybag FPC Ketchup 21g x 2b x 25p,SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,1.0,-3290.0,-3290.0
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,-15117.0,-15117.0
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-CR0001,CLR-PAPRIKA OIL,7.36E-4,202.3598012,274945.38206521736
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-FLV0023,FLV-CHILLI SEASONING FP- 700031641 (SYMEGA).,0.092,15300.305,166307.66304347827
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-OIL0001,PALMOLIEN,0.384,131246.08000000002,341786.6666666667
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-FLM0513,FILM NADEC FPC CHILLI 40g,0.1013,604.7227,5969.621915103653
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-FLV0035,FLV - Red Chilli Pepper Powder (Esnad) Wesee Torti,0.001196,138.12753500000002,115491.25000000001
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-POT0001,POTATO,4.155,667951.2583999999,160758.42560770153
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,-15117.0,-15117.0
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-CR0001,CLR-PAPRIKA OIL,0.001764,202.3598012,114716.44058956916
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-FLM0514,FILM NADEC FPC KETCHUP 40g,0.1013,422.6448,4172.209279368213
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-OTH0003,SUGAR,0.0352947,5801.9698579,164386.43359767896
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-OIL0001,PALMOLIEN,0.364,131246.08000000002,360566.1538461539
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-FLV0027,FLV-KETCHUP SEASONING - 700031638 (SYMEGA).,0.0564774,1005.3758715000001,17801.38376589574
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-FLV0018,FLV-KETCHUP FROMATECH SE 2145.028,0.0564774,4055.0418715,71799.3723418571
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-POT0001,POTATO,3.931,667951.2583999999,169918.91589926227
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-CR0001,CLR-PAPRIKA OIL,3.44E-4,202.3598012,588255.2360465116
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-FLM0520,FILM NADEC FPC CHEESE 21g,0.1009,349.1615999999999,3460.47175421209
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-OTH0004,ONION POWDER,0.01118,393.67101,35212.07602862254
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-OTH0003,SUGAR,0.01677,5801.9698579,345973.15789505065
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-OIL0001,PALMOLIEN,0.36,131246.08000000002,364572.4444444445
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-FLV0069,FLV-SOUR CREAM & ONION (Griffco) D250075,0.022446,2047.414697,91215.1250556892
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-FLV0017,FLV-CHEESE FROMATECH CFB 323.015,0.033626,5887.754707,175095.30443704274
SF-ND0003,Nadec Polybags FPC Cheese 21g x 2b x 25p,SF-FLV0028,FLV-SALT (LOCAL),0.003354,4927.381403,1469105.9639236731
