MATERIAL CODE,DESCRIPTION,INVENTORY,PIPELINE,INVENTORY + PIPELINE,CONSUMPTION THIS MONTH,BALANCE MATERIAL
SF-FLM0522,FILM NADEC FPC SALT 21g,670.11,0.0,670.11,106.5077,563.6023
SF-FLM0521,FILM NADEC FPC SALT & VINEGAR 21g,752.156,0.0,752.156,103.4117,648.7443
SF-MIC0048,STRECH FILM,1378.121,0.0,1378.121,749.5039999999999,628.6170000000002
SF-MIC0003,OTH-CODING FOIL (MARKEM),600.263,0.0,600.263,44.49253999999999,555.7704600000001
SF-CR0001,CLR-PAPRIKA OIL,227.585,0.0,227.585,49.209198799999996,178.3758012
SF-FLM0520,FILM NADEC FPC CHEESE 21g,555.925,0.0,555.925,206.76340000000002,349.1615999999999
SF-OTH0004,ONION POWDER,462.533,0.0,462.533,151.10199,311.43101
SF-FLV0023,FLV-CHILLI SEASONING FP- 700031641 (SYMEGA).,15836.114,0.0,15836.114,2022.8049999999998,13813.309
SF-OIL0001,PALMOLIEN,141483.101,0.0,141483.101,23380.504,118102.597
SF-OTH0003,SUGAR,6335.921,0.0,6335.921,883.9051420999999,5452.0158579
SF-FLV0069,FLV-SOUR CREAM & ONION (Griffco) D250075,2186.301,0.0,2186.301,303.366303,1882.934697
SF-FLM0509,FILM NADEC FPC KETCHUP 155g,664.392,0.0,664.392,664.392,0.0
SF-FLM0508,FILM NADEC FPC CHILLI 155g,908.352,0.0,908.352,908.3520000000001,-1.1368683772161603E-13
SF-FLV0027,FLV-KETCHUP SEASONING - 700031638 (SYMEGA).,1598.888,0.0,1598.888,908.5521285,690.3358714999999
SF-FLV0028,FLV-SALT (LOCAL),4946.77,0.0,4946.77,45.330597000000004,4901.439403
SF-FLV0008,FLV-SALT & VIN FROMATECH 2059.009,4986.265,0.0,4986.265,348.4633706,4637.8016294
SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,22173.0,0.0,22173.0,22173.0,0.0
SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,15117.0,0.0,15117.0,15117.0,0.0
SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,5629.0,0.0,5629.0,5629.0,0.0
SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,3290.0,0.0,3290.0,3290.0,0.0
SF-MIC0022,OTH-TRANSPARENT TAPE (1000M),831.602,0.0,831.602,115.5225,716.0794999999999
SF-DUP0106,DUPLEX BOX - NADEC FPC SALT & VINEGAR - 21g X 12p,2772.45,0.0,2772.45,2772.45,0.0
SF-FLM0512,FILM NADEC FPC SALT & VINEGAR 155g,269.624,18.0,287.624,263.226,24.398000000000025
SF-FLM0511,FILM NADEC FPC SALT 155g,169.516,19.0,188.516,165.41400000000002,23.101999999999975
SF-FLM0510,FILM NADEC FPC CHEESE 155g,526.338,20.0,546.338,526.338,20.0
SF-DUP0102,DUPLEX BOX - NADEC FPC CHILLI - 21g X 12p,9933.35,21.0,9954.35,9933.35,21.0
SF-FLM0516,FILM NADEC FPC SALT 40g,102.736,22.0,124.736,101.7052,23.0308
SF-DUP0103,DUPLEX BOX - NADEC FPC KETCHUP - 21g X 12p,7165.95,23.0,7188.95,7165.95,23.0
SF-FLM0515,FILM NADEC FPC CHEESE 40g,524.755,24.0,548.755,321.6275,227.1275
SF-DUP0104,DUPLEX BOX - NADEC FPC CHEESE - 21g X 12p,5661.05,0.0,5661.05,5661.05,0.0
SF-FLM0514,FILM NADEC FPC KETCHUP 40g,423.846,0.0,423.846,405.6052,18.24079999999998
SF-DUP0105,DUPLEX BOX - NADEC FPC SALT - 21g X 12p,2893.65,0.0,2893.65,2893.65,0.0
SF-FLM0513,FILM NADEC FPC CHILLI 40g,1063.909,0.0,1063.909,559.2773,504.63170000000014
SF-FLV0014,FLV-SALT (For flavouring) (Fine 50 Red Bag),1721.858,0.0,1721.858,99.10023,1622.75777
SF-FLM0519,FILM NADEC FPC KETCHUP 21g,465.197,0.0,465.197,269.0178,196.17919999999998
SF-FLV0035,FLV - Red Chilli Pepper Powder (Esnad) Wesee Torti,145.525,0.0,145.525,26.296464999999998,119.22853500000001
SF-FLM0518,FILM NADEC FPC CHILLI 21g,922.711,0.0,922.711,372.40139999999997,550.3096
SF-FLM0517,FILM NADEC FPC SALT & VINEGAR 40g,177.177,0.0,177.177,143.1369,34.040099999999995
SF-FLV0018,FLV-KETCHUP FROMATECH SE 2145.028,4648.554,0.0,4648.554,908.5521285,3740.0018715
SF-FLV0017,FLV-CHEESE FROMATECH CFB 323.015,6097.71,0.0,6097.71,454.46829299999996,5643.241707
SF-POT0001,POTATO,778650.715,0.0,778650.715,252821.53760000004,525829.1773999999
SF-PBG0261,POLYBAG NADEC FPC KETCHUP 21g X 25p,190.88,0.0,190.88,51.12,139.76
SF-PBG0262,POLYBAG NADEC FPC CHEESE 21g X 25p,205.04,0.0,205.04,36.96,168.07999999999998
SF-PBG0263,POLYBAG NADEC FPC SALT 21g X 25p,240.62,0.0,240.62,19.38,221.24
SF-PBG0264,POLYBAG NADEC FPC SALT & VINEGAR 21g X 25p,240.62,0.0,240.62,19.38,221.24
SF-PBG0260,POLYBAG NADEC FPC CHILLI 21g X 25p,157.44,0.0,157.44,70.56,86.88
SF-MIC0033,USED WOODEN PALLETS,9998438.86,0.0,9998438.86,1561.4202,9996877.4398
