ITEM NO.,DESCRIPTION,QUANTITY
LR-E0601,Chocodate Exclusive Real Caramel 90g Pouch V2,0.0
SF-SP0344,Base:Rear:Cutter,1.0
SF-SP1676,Silencer ,7.0
LR-E0600,Chocodate Exclusive Real Caramel 20x100g Pouch V2,0.0
SF-SP0345,Breaker handle,1.0
SF-SP1675,Air Cylinder ,4.0
SF-SP0342,Block B:Sensor:1,1.0
SF-SP1674,Rod End :Type I:F,4.0
SF-SP0343,Block B:Suspension ,0.0
SF-SP1673,Control Box Tuxel ,0.0
SF-SP0348,Gear Flat  ,0.0
SF-SP0349,Shutter F,1.0
SF-SP1679,Block A:Thrust ,16.0
SF-SP0346,SSR DC-DC,3.0
SF-SP1678,Screw :Cross Pan Head :Bwa S2P2,10.0
SF-SP0347,Spring plate,32.0
SF-SP1677,Cover ,2.0
SF-SP0340,Bearing needle,0.0
SF-SP1672,ECO Drain 31v,1.0
SF-SP0341,Bearing needle,8.0
SF-SP1671,Speed Adjusting Board ,0.0
SF-SP0339,Sensor:: ,2.0
SF-SP0355,Power Supply Swiching +5-5+15V,1.0
SF-SP1687,Wave Washer ,15.0
SF-SP0356,Shaft spline ,0.0
SF-SP1686,Bearing:Radial:Deep Groove,15.0
SF-SP0353,Bearing radial angular,0.0
SF-SP1685,Bracket:Idler ,5.0
SF-SP0354,Gear Flat C-06-04-02-0,3.0
SF-SP1684,Gear :Spiral:Idler ,5.0
SF-SP0359,Cam Follower:Cylindrical,8.0
SF-SP0357,Spacer bearing,17.0
SF-SP1689,Seal Jaw Horizontal,1.0
SF-SP0358,Bearing thrust,0.0
SF-SP1688,C: Ring:For Shaft ,10.0
SF-SP0351,Spacer bearing,23.0
SF-SP1683,Gear:Spiral:Idler  ,5.0
SF-SP0352,Spring coil compressive,61.0
SF-SP1682,Distance:Heater ,5.0
SF-SP1681,Shaft : Drive ,4.0
SF-SP0350,Gear:Pinion:,2.0
SF-SP1680,Shaft :Drive Pulley ,5.0
SF-SP0322,Bearing radial,28.0
SF-SP1654,Jumo part no:00506252 order code:USB-KabelA-plug ,0.0
SF-SP0323,Stripper plate::,0.0
SF-SP1653,Jumo part no:00606496 orfer code:setup/progedit/st,0.0
SF-SP0320,Bush die slide,2.0
SF-SP1652,Jumo Part no: 00614945 order code:703571/8-02-00-0,0.0
SF-SP0321,Pwp p-5432 C3,1.0
SF-SP1651,PRV Valve LPG  0-7 Bar,0.0
SF-SP0326,Motor speed control,1.0
SF-SP1658,SS Belt-GS-KH 6-6-14-16(5) Width: 620mm,0.0
SF-SP0327,SMC filter,10.0
SF-SP1657,SS Belt-DP-KH 280-254-2-50 Width: ctc 300mm,0.0
SF-SP0324,V ring,11.0
SF-SP1656,Diaphragm Regulator: Part No. 70014P203,1.0
SF-SP0325,Motor stepping,0.0
SF-SP1655,Conf_HP1800 Industrial Regulator 1800,0.0
SF-SP0319,Heat bar,12.0
SF-SP0317,Spring Plate,15.0
SF-SP1649,Timing Hopper,0.0
SF-SP0318,Bush DU,0.0
SF-SP1648,Cam Profile Rotary Jaw Rev F,2.0
SF-SP0333,Oil seal,2.0
SF-SP1665,Thermocouple Ktype Dia 3 X 37 Rev D,0.0
ITM SPARE,Transformer 2*7000V Scaldalai Italy ,0.0
SF-SP0334,Gear head ,2.0
SF-SP1664,Oil Level Sensor,2.0
SF-SP0331,Block B::,2.0
SF-SP1663,Spring: Coil: Tension (Ishida),0.0
SF-SP0332,Supporter pully,0.0
SF-SP1662,Cutter: Splicing ,4.0
SF-SP0337,Gear head for roller adj motor,1.0
SF-SP1669,"Oil Filter 3/8"" Mod. 20201.PL   Code 2090025",0.0
SF-SP0338,Gear spiral,2.0
SF-SP1668,SMC Round Cylinder ,0.0
SF-SP0335,Rod End Type IF (PH58A),7.0
SF-SP1667,P2128 Regulator Board ,1.0
SF-SP0336,Timing Pulley H:AF,4.0
SF-SP1666,U1 SWA (109) IC ,1.0
SF-SP1661,Horizontal Belt Conveyors-L3000mm*W500mm*H750,0.0
SF-SP0330,Fitting Speed Controller ,2.0
SF-SP1660,Horizontal Belt Conveyors-L8500mm*W500mm*H750,0.0
SF-SP0328,Air regulator,1.0
SF-SP0329,Timing Pulley:S8M:A,2.0
SF-SP1659,Horizontal Belt Conveyors-L5000mm*W500mm*H750,0.0
LR-E0645,Chocodate Exclusive Bulk Dark NA Sugar 1Kg Bulk,0.0
SF-SP0388,Magnetic Pump Stainless Steel Vortex,0.0
SF-SP0389,Solenoid Valve:Manifold(Magnetic Valve::Manifold),0.0
SF-SP0386,Shaft:Step:Knife Lever,11.0
SF-SP0387,Filter element vacum pump,11.0
LR-E0641,Chocodate Exclusive Dark NA Sugar  90g Pouch,0.0
SF-SP0380,P5439 B1/C2,1.0
SF-SP0381,Controller drive motor,1.0
SF-SP0384,Coupling:: ,0.0
SF-SP0385,Coupling:Mechanical Lock,2.0
SF-SP0382,Encoder film tracking,1.0
SF-SP0383,Shaft support,4.0
LR-E0656,Arabian Delights Chocodate Caramel 250g Pouch,0.0
SF-SP0399,Gear spiral center,2.0
LR-E0655,Arabian Delights Chocodate Caramel 100g Pouch,0.0
SF-SP0397,Filter element ,9.0
SF-SP0398,Gear:Rack:,2.0
LR-E0654,Arabian Delights Chocodate Caramel 90g Pouch,0.0
LR-E0653,Chocodate Exclusive Caramel 230g Pouch V2,0.0
SF-SP0391,Timing Belt P8M-W-752,3.0
SF-SP0392,Air Cylinder (Double side),0.0
SF-SP0390,PWP P-5535 B2,1.0
SF-SP0395,PLATE A:(U CLAMP),3.0
SF-SP0396,SWITCH AS:,2.0
SF-SP0393,Roller:Former ,2.0
SF-SP0394,Kubler Encoder With 800 Flying Plug Lead REA V,0.0
SF-SP0366,Micro switch,6.0
SF-SP1698,Hydralic Pump Hose and Jack,0.0
SF-SP0367,Motovario Motor TP80-04 0.75 KW,0.0
SF-SP1697,Steel Brush Big (suitable for barrel cleaning),13.0
SF-SP0364,Tension Bracket,0.0
SF-SP1696,Rotary Joint for big extruder ,0.0
SF-SP0365,Bracket:Heat:Back,1.0
SF-SP1695,Die Pressure Switch ,0.0
SF-SP0368,Bearing:Radial:Deep Groove,36.0
SF-SP0369,Power Supply As,1.0
SF-SP1699,Oval Plastic Chute ,2.0
SF-SP1690,PLC DIG OUT 24VDC ,0.0
SF-SP0362,Speed control,1.0
SF-SP1694,Band Heater For Die Head w/Ceramic Adapter ,0.0
SF-SP0363,Case:Connecting:1,4.0
SF-SP1693,Band Heates (Zone 2-5),1.0
SF-SP0360,Gear spiral idler,0.0
SF-SP1692,Base Relay SP OMRN #P2FO5E,6.0
SF-SP0361,Pwp p-5424 e4,1.0
SF-SP1691,Relay Emegency StopPILZ,1.0
SF-SP0377,ETP Bush (MIKI Pulley),0.0
SF-SP0378,Relay:Solid:State,3.0
SF-SP0375,Bearing:Radial:,0.0
LR-E0635,Chocodate Exclusive Ruby 90g Pouch,0.0
SF-SP0376,PWP P-5423 C1,0.0
SF-SP0379,Relay:Solid:State,1.0
SF-SP0370,Speed control,0.0
SF-SP0373,Shaft shutter ,0.0
SF-SP0374,Air cylinder,1.0
SF-SP0371,Shaft slide(60mm),16.0
LR-E0639,Chocodate Exclusive Bulk  Ruby 1Kg Bulk,0.0
SF-SP0372,Shutter R,2.0
SF-POD0006,POTATO FOR STICKS,98630.0
SF-POD0005,POTATO GRANULES,20594.282
SF-POD0008,CORN GRITS 108,34300.0
SF-POD0007,CORN STARCH,33591.774
SF-POD0009,CORN MASA/FLOUR COARSE,2505.731
SF-POD0002,CORN GRITS 101,32213.057
SF-POD0001,CORN MASA/FLOUR FINE,3872.132
SF-POD0004,POTATO FLAKES,61264.533
SF-POD0003,POTATO STARCH,90327.722
SF-POD0017,Potato Starch COLD SWELL 3781,0.0
SF-POD0016,Maize Grits 101 Euro,0.0
SF-POD0018,Potato Starch Adamyl 2075,0.0
SF-POD0011,Suprex Potato Replacer Golden MV300,0.0
SF-POD0010,Masa Flour,0.0
SF-POD0013,Suprex Wheat <300 Retrospect,0.0
SF-POD0012,Euro Suprex Corn <300,0.0
SF-POD0015,Maize Grits 108 Euro,0.0
SF-POD0014,Golden Corn Granules <300,0.0
SF-CPM03020,Carton - 24x100g 5Ply Chocodate Classic Pouch,0.0
SF-CPM03022,Box - 33g Exclusive White Inner Tent Real,0.0
SF-CPM03021,Box - 33g Exclusive Milk Inner Tent Real,0.0
SF-CPM03028,Box - 10x33g Exclusive Coconut Outer Tray,0.0
SF-CPM03027,Box - 10x33g Exclusive Assorted Outer Tray,0.0
SF-CPM03029,Box - 10x33g Exclusive Extra Dark Outer Tray,0.0
SF-CPM03024,Box - 33g Exclusive Extra Dark Inner Tent Real,0.0
SF-CPM03023,Box - 33g Exclusive Coconut Inner Tent Real,0.0
SF-CPM03026,Box - 10x33g Exclusive White Outer Tray,0.0
SF-CPM03025,Box - 10x33g Exclusive Milk Outer Tray,0.0
SF-CPM03030,Carton - 6x10x33g Exclusive Tent Box Trays,0.0
LPM02322,Insert - 271g Galaxy Fusion Gifting,6908.0
LPM02321,Insert - 180g Galaxy Fusion Gifting,397.0
SF-CPM03000,Pouch - 100g Arabian Delights Figs Milk,0.0
SF-CPM03006,Carton - 24x330g Abood Ramadan Calendar Box,0.0
SF-CPM03005,Floor System Disply of Corrugated Paperboard,0.0
SF-CPM03008,Box - 150g Chocodate Classic Assorted Souvenir,0.0
SF-CPM03007,Carton Wishes 12 x 250g 5ply,2368.0
SF-CPM03002,Pouch - 250g Arabian Delights Apricot Assorted,0.0
SF-CPM03001,Pouch - 100g Arabian Delights Apricot Assorted,0.0
SF-CPM03004,Carton - 30x100g 5Ply Arabian Delights Pouch,0.0
SF-CPM03003,Pouch - 100g Arabian Delights Coconut,0.0
SFI-02127,Not available,0.0
SF-CPM03009,Box - 150g Chocodate Classic Coconut Souvenir,0.0
SF-CPM03011,Box - 150g Chocodate Classic Milk Souvenir,0.0
SF-CPM03010,Box - 150g Chocodate Classic Dark Souvenir,0.0
SF-CPM03017,Box - 33g Exclusive Assorted Inner Tent Real,0.0
SF-CPM03016,Pouch - 90g Chocodate Classic Assorted,0.0
SF-CPM03019,Carton - 6x600g 3Ply Classic Assorted Pouch,0.0
SF-CPM03018,Pouch - 250g Chocodate Classic Assorted Mosaic,0.0
