FG CODE,DESCRIPTION,SHORTAGE ITEM,DESCRIPTOIN,REQUIRED QUANTITY IN BOM FOR 1 CTN,ABAILABLE INVENTORY,UNABLE TO BUILT IN CARTONS,MATERIAL REQUIRED TO FULFILL THE ORDER REQUIREMENT,MATERIAL SHORTAGE,PIPELINE,ETA
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,0.0,1057.0,1057.0,1057.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0020,Nadec FPC Salt 155g X 12p,SF-FLM0511,FILM NADEC FPC SALT 155g,0.114,0.014,1057.0,120.498,120.48400000000001,19.0,2025-12-15
SF-ND0011,Nadec FPC Ketchup 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,0.0,4004.0,4004.0,4004.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0010,Nadec Duplex FPC Salt 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,0.0,573.0,573.0,573.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0002,Nadec Polybags FPC Chili 21g x 2b x 25p,SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,1.0,0.0,1084.0,1084.0,1084.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0013,Nadec FPC Cheese 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,0.0,3175.0,3175.0,3175.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0012,Nadec FPC Chilli 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,0.0,991.0,991.0,991.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0004,Nadec Polybags FPC Salt & Vinegar 21g x 2b x 25p,SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,1.0,0.0,323.0,323.0,323.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0015,Nadec FPC Salt 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,0.0,1004.0,1004.0,1004.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0015,Nadec FPC Salt 40g X 28p,SF-FLM0516,FILM NADEC FPC SALT 40g,0.1013,3.14,1004.0,101.7052,98.5652,22.0,2025-09-10
SF-ND0014,Nadec FPC Salt & Vinegar 40g X 28p,SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,1.0,0.0,1413.0,1413.0,1413.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0006,Nadec Duplex FPC Ketchup 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,0.0,1419.0,1419.0,1419.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0017,Nadec FPC Chilli 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,0.0,7968.0,7968.0,7968.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0005,Nadec Polybags FPC Salt 21g x 2b x 25p,SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,1.0,0.0,323.0,323.0,323.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-FLM0512,FILM NADEC FPC SALT & VINEGAR 155g,0.114,0.086,83.0,9.462,9.376,18.0,2025-12-10
SF-ND0019,Nadec FPC Salt & Vinegar 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,0.0,83.0,83.0,83.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0007,Nadec Duplex FPC Chilli 21g X 5box X 12p,SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,1.0,0.0,888.0,888.0,888.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-ND0018,Nadec FPC Cheese 155g X 12p,SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,1.0,0.0,2207.0,2207.0,2207.0,NOT IN PIPELINE,NOT IN PIPELINE
