ITEM NO.,DESCRIPTION,SHORTAGE QUANTITY,PIPELINE,ETA
SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,22173.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-DUP0106,DUPLEX BOX - NADEC FPC SALT & VINEGAR - 21g X 12p,1284.8999999999999,NOT IN PIPELINE,NOT IN PIPELINE
SF-FLM0512,FILM NADEC FPC SALT & VINEGAR 155g,263.226,18.0,2025-12-10
SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,15117.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-FLM0511,FILM NADEC FPC SALT 155g,165.41400000000002,19.0,2025-12-15
SF-DUP0102,DUPLEX BOX - NADEC FPC CHILLI - 21g X 12p,1052.300000000001,21.0,2026-10-15
SF-FLM0516,FILM NADEC FPC SALT 40g,101.7052,22.0,2025-09-10
SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,5629.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-DUP0104,DUPLEX BOX - NADEC FPC CHEESE - 21g X 12p,3576.1000000000004,NOT IN PIPELINE,NOT IN PIPELINE
SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,3290.0,NOT IN PIPELINE,NOT IN PIPELINE
SF-FLM0509,FILM NADEC FPC KETCHUP 155g,369.78400000000005,NOT IN PIPELINE,NOT IN PIPELINE
